date,home,away,side,line,model_prob,market_prob,edge,clv,odds,actual_total,won,push,profit
2022-04-13,VAN,VGK,UNDER,6.0,0.7037245110031838,0.5158414922262687,0.18788301877691505,18.788301877691506,1.884,9,False,False,-100.0
2022-04-13,DAL,TBL,UNDER,6.0,0.6407351107491239,0.5026236956915097,0.13811141505761426,13.811141505761427,1.934,1,True,False,93.39999999999999
2022-04-13,CGY,SEA,UNDER,6.0,0.6081380851820064,0.5073180630596352,0.10082002212237118,10.082002212237118,1.917,8,False,False,-100.0
2022-04-13,CHI,LAK,UNDER,6.5,0.6059884329072547,0.5340739158299509,0.07191451707730379,7.191451707730378,1.826,7,False,False,-100.0
2022-04-13,MIN,EDM,UNDER,6.5,0.45939342600748245,0.44324669337966743,0.01614673262781502,1.614673262781502,2.18,6,True,False,118.00000000000001
2022-04-13,NSH,SJS,UNDER,6.0,0.5747108515662336,0.5318441696582902,0.042866681907943405,4.286668190794341,1.833,1,True,False,83.3
2022-04-13,DET,OTT,UNDER,6.5,0.5579426323811112,0.5122609662266345,0.04568166615447666,4.568166615447666,1.9,5,True,False,89.99999999999999
2022-04-13,NYI,PIT,UNDER,5.5,0.5562296204763599,0.47528517110266155,0.08094444937369838,8.094444937369838,2.04,9,False,False,-100.0
2022-04-13,NYR,CAR,UNDER,5.5,0.6256013061001041,0.4846158692312539,0.14098543686885023,14.098543686885023,2.0,6,False,False,-100.0
2022-04-13,TOR,BUF,UNDER,7.0,0.533307700075817,0.5002075861482516,0.0331001139275654,3.31001139275654,1.943,7,False,True,0.0
2022-04-13,BOS,STL,UNDER,6.0,0.5044082100485279,0.4953756681379324,0.009032541910595493,0.9032541910595493,1.961,6,False,True,0.0
2022-04-13,FLA,ANA,UNDER,7.0,0.5629283443982787,0.5438122325123581,0.01911611188592055,1.911611188592055,1.793,5,True,False,79.3
2022-04-13,WSH,PHI,UNDER,6.5,0.5373841556260851,0.4906843574733681,0.04669979815271702,4.669979815271702,1.98,11,False,False,-100.0
2022-04-14,COL,LAK,UNDER,6.0,0.6273725485023414,0.5073180630596352,0.12005448544270614,12.005448544270614,1.917,12,False,False,-100.0
